text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,split_word_0,split_word_1,split_word_2,split_word_3,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
)l',"Masekhet: 71016, Page: 002, Side: 2, Line: 02, Word: 0",c,,,,,ˀlˀ,,,,but rather,,,,אל',)l),conjunction,but rather
ht',"Masekhet: 71016, Page: 002, Side: 2, Line: 02, Word: 1",a,,,,,htm,,,,there,,,,הת',htm,adverb,there
lyprw$,"Masekhet: 71016, Page: 002, Side: 2, Line: 02, Word: 2",verb G,,,,,prš,,,,to separate,to be(come) separated,to depart,"to specify, distinguish, clarify",ליפרוש,pr$,verb peal,"to separate | to be(come) separated | to depart | to specify, distinguish, clarify"
kynwy,"Masekhet: 71016, Page: 002, Side: 2, Line: 02, Word: 3",noun pl. emphatic,,,,,"knwy, knwyˀ",,,,alternative name,,,,כינוי,kynwy),noun pl. emphatic,alternative name
bry$',"Masekhet: 71016, Page: 002, Side: 2, Line: 02, Word: 4",p02,noun sg. emphatic,,,,b_,"ryš, ryšˀ",,,"in, with",head; top; chief,,,בריש',ry$),preposition with pronominal suffix | noun sg. emphatic,"in, with | head; top; chief"
)l',"Masekhet: 71016, Page: 002, Side: 2, Line: 02, Word: 5",c,,,,,ˀlˀ,,,,but rather,,,,אל',)l),conjunction,but rather
hyynw,"Masekhet: 71016, Page: 002, Side: 2, Line: 02, Word: 6",P01,,,,,hyynw,,,,"this is, that is",,,,היינו,hyynw,preposition independent,"this is, that is"
T(',"Masekhet: 71016, Page: 002, Side: 2, Line: 03, Word: 0",noun sg. emphatic,,,,,"ṭˁm, ṭˁmˀ",,,,taste; order,,,,טע',T(m),noun sg. emphatic,taste; order
"""ydw';","Masekhet: 71016, Page: 002, Side: 2, Line: 03, Word: 1",No data,,,,,,,,,,,,,ידו';,None,No data,
"hw)yl""","Masekhet: 71016, Page: 002, Side: 2, Line: 03, Word: 2",No data,,,,,,,,,,,,,הואיל,None,No data,
w)tyyN,"Masekhet: 71016, Page: 002, Side: 2, Line: 03, Word: 3",c,verb G,,,,w_,ˀty,,,to come,to occur; w.,: to befall,to be fitting,ואתיין,)ty,conjunction | verb peal,to come | to occur; w. | : to befall | to be fitting
lyh,"Masekhet: 71016, Page: 002, Side: 2, Line: 03, Word: 4",p02,,,,,l_,,,,"to, for",,,,ליה,l_,preposition with pronominal suffix,"to, for"
mdr$',"Masekhet: 71016, Page: 002, Side: 2, Line: 03, Word: 5",noun sg. emphatic,,,,,"drš, dr$ˀ",,,,homiletical interpretation,,,,מדרש',dr$),noun sg. emphatic,homiletical interpretation
xbybyN,"Masekhet: 71016, Page: 002, Side: 2, Line: 03, Word: 6",A03,,,,,ḥbyb,,,,dear one; uncle,,,,חביבין,xbyb,adjective plural absolute,dear one; uncle
lyh;,"Masekhet: 71016, Page: 002, Side: 2, Line: 04, Word: 0",p02,,,,,l_,,,,"to, for",,,,ליה;,l_,preposition with pronominal suffix,"to, for"
