text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,split_word_0,split_word_1,split_word_2,split_word_3,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
dtnN;,"Masekhet: 71034, Page: 002, Side: 2, Line: 31, Word: 2",c,verb G,,,,dy,tny,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,דתנן;,tny,conjunction | verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
""")rb(h","Masekhet: 71034, Page: 002, Side: 2, Line: 31, Word: 3",No data,,,,,,,,,,,,,ארבעה,None,No data,
)bwt,"Masekhet: 71034, Page: 002, Side: 2, Line: 31, Word: 4",No data,,,,,,,,,,,,,אבות,None,No data,
"nzyqyN"";","Masekhet: 71034, Page: 002, Side: 2, Line: 31, Word: 5",No data,,,,,,,,,,,,,נזיקין;,None,No data,
mynyyn),"Masekhet: 71034, Page: 002, Side: 2, Line: 31, Word: 6",N,,,,,"mnyn, mnynˀ",,,,"number, amount",,,,מיניינא,mnyyn),noun,"number, amount"
lmh,"Masekhet: 71034, Page: 002, Side: 2, Line: 32, Word: 0",c,,,,,lmh,,,,why?,,,,למה,lmh,conjunction,why?
ly;,"Masekhet: 71034, Page: 002, Side: 2, Line: 32, Word: 1",p02,,,,,l_,,,,"to, for",,,,לי;,l_,preposition with pronominal suffix,"to, for"
l)pw?qy?,"Masekhet: 71034, Page: 002, Side: 2, Line: 32, Word: 2",p02,verb C,,,,l_,npq,,,"to bring forth, produce","to remove, expel",to expend,to produce a text,לאפוקי,npq,preposition with pronominal suffix | verb (h)aphel,"to bring forth, produce | to remove, expel | to expend | to produce a text"
mdr',"Masekhet: 71034, Page: 002, Side: 2, Line: 32, Word: 3",No data,,,,,,,,,,,,,מדר',None,No data,
)w$(y),"Masekhet: 71034, Page: 002, Side: 2, Line: 32, Word: 4",No data,,,,,,,,,,,,,אושעיא,None,No data,
d)';,"Masekhet: 71034, Page: 002, Side: 2, Line: 32, Word: 5",c,verb G,,,,dy,ˀmr,,,to say,to command,to think,idiomatic and special usages:,דא';,)mr,conjunction | verb peal,to say | to command | to think | idiomatic and special usages:
"""$l$h","Masekhet: 71034, Page: 002, Side: 2, Line: 32, Word: 6",No data,,,,,,,,,,,,,שלשה,None,No data,
"($r""","Masekhet: 71034, Page: 002, Side: 2, Line: 32, Word: 7",No data,,,,,,,,,,,,,עשר,None,No data,
"""hN"";","Masekhet: 71034, Page: 002, Side: 2, Line: 33, Word: 0",No data,,,,,,,,,,,,,הן;,None,No data,
wlr',"Masekhet: 71034, Page: 002, Side: 2, Line: 33, Word: 1",No data,,,,,,,,,,,,,ולר',None,No data,
)w$(y),"Masekhet: 71034, Page: 002, Side: 2, Line: 33, Word: 2",No data,,,,,,,,,,,,,אושעיא,None,No data,
mynyyn),"Masekhet: 71034, Page: 002, Side: 2, Line: 33, Word: 3",N,,,,,"mnyn, mnynˀ",,,,"number, amount",,,,מיניינא,mnyyn),noun,"number, amount"
lmh,"Masekhet: 71034, Page: 002, Side: 2, Line: 33, Word: 4",c,,,,,lmh,,,,why?,,,,למה,lmh,conjunction,why?
ly;,"Masekhet: 71034, Page: 002, Side: 2, Line: 33, Word: 5",p02,,,,,l_,,,,"to, for",,,,לי;,l_,preposition with pronominal suffix,"to, for"
l)pwqy,"Masekhet: 71034, Page: 002, Side: 2, Line: 34, Word: 0",p02,verb C,,,,l_,npq,,,"to bring forth, produce","to remove, expel",to expend,to produce a text,לאפוקי,npq,preposition with pronominal suffix | verb (h)aphel,"to bring forth, produce | to remove, expel | to expend | to produce a text"
mdr',"Masekhet: 71034, Page: 002, Side: 2, Line: 34, Word: 1",No data,,,,,,,,,,,,,מדר',None,No data,
xyy);,"Masekhet: 71034, Page: 002, Side: 2, Line: 34, Word: 2",No data,,,,,,,,,,,,,חייא;,None,No data,
wlr',"Masekhet: 71034, Page: 002, Side: 2, Line: 35, Word: 0",No data,,,,,,,,,,,,,ולר',None,No data,
xyy),"Masekhet: 71034, Page: 002, Side: 2, Line: 35, Word: 1",No data,,,,,,,,,,,,,חייא,None,No data,
mynyyn),"Masekhet: 71034, Page: 002, Side: 2, Line: 35, Word: 2",N,,,,,"mnyn, mnynˀ",,,,"number, amount",,,,מיניינא,mnyyn),noun,"number, amount"
lmh,"Masekhet: 71034, Page: 002, Side: 2, Line: 35, Word: 3",c,,,,,lmh,,,,why?,,,,למה,lmh,conjunction,why?
ly;,"Masekhet: 71034, Page: 002, Side: 2, Line: 35, Word: 4",p02,,,,,l_,,,,"to, for",,,,לי;,l_,preposition with pronominal suffix,"to, for"
l)pwqy,"Masekhet: 71034, Page: 002, Side: 2, Line: 35, Word: 5",p02,verb C,,,,l_,npq,,,"to bring forth, produce","to remove, expel",to expend,to produce a text,לאפוקי,npq,preposition with pronominal suffix | verb (h)aphel,"to bring forth, produce | to remove, expel | to expend | to produce a text"
"""mswr","Masekhet: 71034, Page: 002, Side: 2, Line: 35, Word: 6",No data,,,,,,,,,,,,,מסור,None,No data,
"wmpgl"";","Masekhet: 71034, Page: 002, Side: 2, Line: 35, Word: 7",No data,,,,,,,,,,,,,ומפגל;,None,No data,
(br,"Masekhet: 71034, Page: 002, Side: 2, Line: 39, Word: 0",verb G,,,,,ˁbr,,,,to cross over,"to go away, vanish",":  to violate, transgress",to be exchangeable,עבר,(br,verb peal,"to cross over | to go away, vanish | :  to violate, transgress | to be exchangeable"
xd),"Masekhet: 71034, Page: 002, Side: 2, Line: 39, Word: 1",n01,,,,,ḥd,,,,one,,,,חדא,xd,numeral singular absolute or construct,one
nyxyyb,"Masekhet: 71034, Page: 002, Side: 2, Line: 40, Word: 0",verb Dt,,,,,ḥwb,,,,"to be obligated, subject to liability",to incur guilt,to be conquered,,ניחייב,xwb,verb ethpaal,"to be obligated, subject to liability | to incur guilt | to be conquered"
