scroll_name,column,line,emphatic_ratio,absolute_ratio,function_words_ratio,lexical_diversity,verb_ratio,passive_voice_ratio,plural_ratio,line_length,avg_word_len,v_then_noun_ratio,v_then_prep_ratio
11QtgJob_Job_Scroll,15,08,0.0,0.0,0.0,0.2,0.0,0.0,0.0,5.0,4.6,0.0,0.0
11QtgJob_Job_Scroll,15,09,0.0,0.0,0.0,0.5,0.0,0.0,0.0,3.0,6.6667,0.0,0.0
11QtgJob_Job_Scroll,16,01,0.0,0.0,0.0,0.25,0.0,0.0,0.0,4.0,4.25,0.0,0.0
11QtgJob_Job_Scroll,16,02,0.0,0.0,0.0,0.2,0.0,0.0,0.0,5.0,4.2,0.0,0.0
11QtgJob_Job_Scroll,16,03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.75,0.0,0.0
11QtgJob_Job_Scroll,16,04,0.0,0.0,0.0,0.6,0.0,0.0,0.0,5.0,6.0,0.0,0.0
11QtgJob_Job_Scroll,16,05,0.0,0.0,0.0,0.2,0.0,0.0,0.0,5.0,4.4,0.0,0.0
11QtgJob_Job_Scroll,16,06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0
11QtgJob_Job_Scroll,16,07,0.0,0.0,0.0,0.2,0.0,0.0,0.0,5.0,5.8,0.0,0.0
11QtgJob_Job_Scroll,16,08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0
11QtgJob_Job_Scroll,16,09,0.0,0.0,0.0,0.5,0.0,0.0,0.0,3.0,6.6667,0.0,0.0
11QtgJob_Job_Scroll,16,10,0.0,0.0,0.0,0.5,0.0,0.0,0.0,3.0,5.0,0.0,0.0
11QtgJob_Job_Scroll,17,01,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.0,4.5,0.0,0.0
11QtgJob_Job_Scroll,17,02,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.0,5.0,0.0,0.0
11QtgJob_Job_Scroll,17,03,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.0,5.0,0.0,0.0
11QtgJob_Job_Scroll,17,04,0.0,0.0,0.0,0.5,1.0,0.0,0.0,2.0,5.0,0.0,0.0
11QtgJob_Job_Scroll,17,05,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.0,4.5,0.0,0.0
11QtgJob_Job_Scroll,17,06,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.0,5.0,0.0,0.0
11QtgJob_Job_Scroll,17,07,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.0,5.0,0.0,0.0
11QtgJob_Job_Scroll,17,08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.25,0.0,0.0
11QtgJob_Job_Scroll,18,01,0.0,0.0,0.0,0.5,0.0,0.0,0.0,3.0,5.3333,0.0,0.0
11QtgJob_Job_Scroll,18,02,0.0,0.0,0.0,0.5,0.0,0.0,0.0,3.0,4.6667,0.0,0.0
11QtgJob_Job_Scroll,18,03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.5,0.0,0.0
11QtgJob_Job_Scroll,18,04,0.0,0.0,0.0,0.1667,0.0,0.0,0.0,6.0,3.6667,0.0,0.0
11QtgJob_Job_Scroll,18,05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.3333,0.0,0.0
11QtgJob_Job_Scroll,18,06,0.0,0.0,0.0,0.3333,0.1667,0.0,0.0,6.0,4.3333,0.0,0.0
11QtgJob_Job_Scroll,18,07,0.0,0.0,0.0,0.0,0.8,0.8,0.0,5.0,4.0,0.0,0.0
11QtgJob_Job_Scroll,18,08,0.0,0.0,0.0,0.5,0.3333,0.0,0.0,3.0,4.6667,0.0,0.0
11QtgJob_Job_Scroll,18,09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.75,0.0,0.0
11QtgJob_Job_Scroll,19,01,0.0,0.0,0.0,0.5,0.0,0.0,0.0,3.0,4.3333,0.0,0.0
11QtgJob_Job_Scroll,19,02,0.0,0.0,0.0,0.2,0.0,0.0,0.0,5.0,4.4,0.0,0.0
11QtgJob_Job_Scroll,19,03,0.0,0.0,0.0,0.2,0.0,0.0,0.0,5.0,4.8,0.0,0.0
11QtgJob_Job_Scroll,19,04,0.0,0.0,0.0,0.5,0.0,0.0,0.0,3.0,5.0,0.0,0.0
11QtgJob_Job_Scroll,19,05,0.0,0.0,0.0,0.5,0.0,0.0,0.0,4.0,5.0,0.0,0.0
11QtgJob_Job_Scroll,19,06,0.0,0.0,0.0,0.25,0.0,0.0,0.0,4.0,5.5,0.0,0.0
11QtgJob_Job_Scroll,19,07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.2,0.0,0.0
11QtgJob_Job_Scroll,19,08,0.0,0.0,0.0,0.5,0.0,0.0,0.0,3.0,3.6667,0.0,0.0
11QtgJob_Job_Scroll,19,09,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.0,3.0,0.0,0.0
11QtgJob_Job_Scroll,20,01,0.0,0.0,0.0,0.5,0.0,0.0,0.0,3.0,3.6667,0.0,0.0
11QtgJob_Job_Scroll,20,02,0.0,0.0,0.0,0.5,0.0,0.0,0.0,3.0,4.6667,0.0,0.0
11QtgJob_Job_Scroll,20,03,0.0,0.0,0.0,0.5,0.6667,0.3333,0.0,3.0,4.6667,0.0,0.0
11QtgJob_Job_Scroll,20,04,0.0,0.0,0.0,0.5,0.0,0.0,0.0,3.0,3.6667,0.0,0.0
