masekhet,page,side,line,target,emphatic_ratio,absolute_ratio,function_words_ratio,lexical_diversity,verb_ratio,passive_voice_ratio,plural_ratio,line_length,avg_word_len,v_then_noun_ratio,v_then_prep_ratio
71005,002,2,44,Bavli,0.0,0.0,0.1667,0.6667,0.6667,0.0,0.0,6.0,3.8333,0.0,0.0
71005,002,2,45,Bavli,0.0,0.0,1.0,0.5,1.0,0.0,0.0,2.0,2.5,0.0,0.0
71005,002,2,46,Bavli,0.2,0.0,0.2,0.6,0.8,0.0,0.0,5.0,4.8,0.0,0.0
71005,003,1,13,Bavli,0.0,0.0833,0.0833,0.6667,0.5,0.0,0.0,12.0,4.0,0.0,0.0
71005,003,1,17,Bavli,0.0,0.1667,0.6667,0.6667,0.6667,0.0,0.0,6.0,4.1667,0.0,0.5
71005,003,1,18,Bavli,0.0,0.1111,0.5556,0.5556,0.4444,0.0,0.0,9.0,3.6667,0.0,0.5
71005,003,1,19,Bavli,0.0,0.3333,0.3333,0.5,0.0,0.0,0.0,3.0,3.6667,0.0,0.0
71005,003,1,21,Bavli,0.0,0.0,0.1667,0.3333,0.1667,0.0,0.0,6.0,4.6667,0.0,0.0
71005,003,1,22,Bavli,0.0,0.0,0.25,0.5,0.5,0.0,0.0,4.0,4.25,0.0,0.5
71005,003,1,28,Bavli,0.0,0.0,0.0,0.5,0.5,0.0,0.0,4.0,4.0,0.0,0.0
71005,003,1,29,Bavli,0.0,0.1667,0.1667,0.6667,0.3333,0.0,0.0,6.0,3.8333,0.0,0.0
71005,003,1,30,Bavli,0.125,0.0,0.0,0.375,0.25,0.0,0.0,8.0,3.375,0.0,0.0
71005,003,1,31,Bavli,0.2,0.0,0.0,0.2,0.0,0.0,0.0,5.0,3.4,0.0,0.0
71005,003,1,43,Bavli,0.0,0.2,0.6,1.0,1.2,0.0,0.0,5.0,5.4,0.1667,0.0
71005,003,1,44,Bavli,0.0,0.1538,0.4615,0.4615,0.3077,0.0,0.0,13.0,4.0769,0.0,0.5
71005,003,1,45,Bavli,0.0,0.0,0.6,1.0,0.4,0.0,0.0,10.0,5.0,0.0,0.0
71005,003,2,01,Bavli,0.0,0.0,0.5,0.5,0.0,0.0,0.0,2.0,7.0,0.0,0.0
71005,003,2,05,Bavli,0.0,0.1,0.4,0.7,0.6,0.0,0.0,10.0,4.4,0.0,0.0
71005,003,2,28,Bavli,0.1667,0.3333,0.0,0.6667,0.0,0.0,0.6667,6.0,3.6667,0.0,0.0
71005,003,2,33,Bavli,0.0,0.0,0.1667,0.6667,0.3333,0.0,0.0,6.0,4.1667,0.0,0.0
71005,004,1,08,Bavli,0.1667,0.0,0.5,1.0,0.3333,0.0,0.0,6.0,4.0,0.0,0.0
71005,004,1,12,Bavli,0.0,0.0,0.6667,0.8889,0.8889,0.0,0.0,9.0,3.6667,0.0,0.125
71005,004,1,15,Bavli,0.1667,0.0,0.3333,1.0,1.0,0.0,0.0,6.0,3.6667,0.0,0.1667
71005,004,1,16,Bavli,0.0,0.0,0.2857,0.8571,0.5714,0.0,0.0,7.0,4.1429,0.0,0.25
71005,004,1,20,Bavli,0.3333,0.0,0.3333,0.5,0.6667,0.0,0.0,3.0,5.0,0.0,0.5
71005,004,1,21,Bavli,0.25,0.0,0.5,1.0,0.5,0.0,0.0,4.0,4.0,0.0,0.5
71005,004,1,22,Bavli,0.0,0.0,0.3333,0.3333,0.6667,0.0,0.0,6.0,3.8333,0.0,0.0
71005,004,1,23,Bavli,0.1667,0.0,0.3333,0.6667,0.3333,0.0,0.0,6.0,4.3333,0.0,0.5
71005,004,1,24,Bavli,0.5,0.0,0.5,0.5,1.0,0.0,0.0,2.0,6.0,0.0,0.5
71005,004,1,25,Bavli,0.25,0.0,0.25,0.5,0.0,0.0,0.0,4.0,3.25,0.0,0.0
71005,004,1,29,Bavli,0.4444,0.1111,0.3333,0.7778,0.0,0.0,0.0,9.0,3.7778,0.0,0.0
71005,004,1,30,Bavli,0.0,0.25,0.75,1.0,1.0,0.0,0.0,4.0,4.75,0.0,0.25
71005,004,1,32,Bavli,0.0,0.0,0.375,0.625,0.5,0.0,0.0,8.0,4.0,0.0,0.5
71005,004,1,34,Bavli,0.125,0.0,0.3125,0.5625,0.5,0.0,0.0,16.0,3.6875,0.0,0.25
71005,004,1,35,Bavli,0.0,0.0,0.4,1.0,0.8,0.0,0.0,5.0,3.2,0.0,0.0
71005,004,1,36,Bavli,0.0,0.0,1.0,0.5,2.0,0.0,0.0,1.0,7.0,0.0,0.0
71005,004,1,37,Bavli,0.3333,0.0,0.3333,0.5,0.0,0.0,0.0,3.0,5.6667,0.0,0.0
71005,004,1,38,Bavli,0.2143,0.0,0.5714,0.7143,0.2857,0.0,0.0,14.0,4.9286,0.0,0.5
71005,004,1,39,Bavli,0.0,0.3333,0.3333,0.5,0.0,0.0,1.0,3.0,4.6667,0.0,0.0
71005,004,1,40,Bavli,0.0,0.0,1.0,0.5,0.6667,0.0,0.0,3.0,4.6667,0.0,0.5
71005,004,2,09,Bavli,0.5,0.0,0.5,0.5,0.0,0.0,0.0,2.0,4.0,0.0,0.0
71005,004,2,10,Bavli,0.1111,0.0,0.5556,1.0,0.6667,0.0,0.0,9.0,4.0,0.0,0.3333
71005,004,2,11,Bavli,0.2,0.0,0.0,0.6,0.8,0.0,0.0,5.0,3.8,0.25,0.0
